Seed,Score,Potential_Score,Commands_Sent,Failures,Tasks_Completed,Remaining_Sites,Remaining_Resources,Actor_Idle_Time,Ticks,Time_to_Run
1648329193,0,308.2409178436087,731,0,0,5,98,43:442;44:39;45:425;,14400,37.21913647605106
1648329193,0,308.2409178436087,731,0,0,5,98,43:442;44:39;45:425;,14400,37.22369538061321
1648329193,0,308.2409178436087,731,0,0,5,98,43:442;44:39;45:425;,14400,41.239890691358596
1648329193,0,308.2409178436087,731,0,0,5,98,43:442;44:39;45:425;,14400,41.24819096084684
1648329193,0,308.2409178436087,731,0,0,5,98,43:442;44:39;45:425;,14400,42.24723478965461
1648329193,0,308.2409178436087,731,0,0,5,98,43:442;44:39;45:425;,14400,43.25434243911877
1648329193,0,308.2409178436087,731,0,0,5,98,43:442;44:39;45:425;,14400,43.25683538289741
1648329193,0,308.2409178436087,731,0,0,5,98,43:442;44:39;45:425;,14400,45.26453241985291
1648329251,0,313.7228755735937,604,0,0,4,54,38:329;39:414;40:6;,14400,29.17032180307433
1648329260,0,312.4774564295385,724,0,0,6,64,37:416;38:16;39:490;,14400,30.183899969328195
1648329253,0,331.9242586565943,604,0,0,5,82,42:415;43:335;44:19;,14400,40.24078269908205
1648329257,0,352.21727860770534,665,0,0,6,86,42:425;43:417;44:19;,14400,42.257623116951436
1648329258,0,362.1623817674414,696,0,0,6,86,45:413;46:16;47:462;,14400,51.303799770306796
1648329259,0,333.37024163510904,1021,0,0,18,82,39:391;40:982;41:20;,14400,54.324543185997754
1648329258,0,362.1623817674414,696,0,0,6,86,45:413;46:16;47:462;,14400,57.335517906118184
1648329258,0,362.1623817674414,696,0,0,6,86,45:413;46:16;47:462;,14400,59.35369887202978
1648329304,51.622776601683796,345.657324950157,884,0,1,10,61,42:543;43:581;44:56;,14400,35.2275504572317
1648329324,72.87216658103186,396.2184499940297,823,0,1,5,64,47:407;48:29;49:618;,14400,28.188221171032637
1648329355,0,338.35437775077827,659,0,0,6,60,46:430;47:32;48:388;,14400,25.14378069108352
1648329353,51.622776601683796,331.2233690799926,695,0,1,7,39,44:474;45:17;46:399;,14400,28.163743413984776
1648329314,0,411.1159759502539,876,0,0,8,102,46:20;47:525;48:587;,14400,69.41387875610963
1648329344,45.0,332.1116293121122,655,0,1,5,68,40:360;41:461;42:26;,14400,39.23564032977447
1648329348,0,332.1744522562476,692,0,0,7,79,46:29;47:423;48:436;,14400,35.223771159071475
1648329399,45.0,403.49347803824736,785,0,1,7,83,42:34;43:426;44:546;,14400,34.19878070009872
1648329398,0,340.20110787121735,567,0,0,6,93,42:299;43:417;44:24;,14400,44.265487804077566
1648329417,77.52025917745213,298.68264094489354,703,0,2,8,70,44:431;45:21;46:491;,14400,40.23670955793932
1648329409,0,316.46111437521637,629,0,0,7,83,43:280;44:15;45:503;,14400,49.28969103517011
1648329457,103.4828726939094,359.54094478599086,820,0,2,7,41,47:483;48:568;49:32;,14400,26.149719493929297
1648329427,0,396.86436906346876,779,0,0,8,82,45:501;46:473;47:33;,14400,59.363752752076834
1648329484,110.56921938165306,347.8606059543869,868,0,2,8,49,44:166;45:496;46:482;,14400,32.192864870652556
1648329476,0,331.7108821701878,593,0,0,8,96,41:462;42:316;43:16;,14400,56.335571584291756
1648329511,80.38320341483518,339.68548909005096,761,0,1,5,85,48:466;49:477;50:29;,14400,31.177519725169986
1648329495,0,396.01291837741826,693,0,0,6,111,45:26;46:407;47:463;,14400,49.291769014205784
1648329520,0,352.74367163790066,885,0,0,10,69,38:569;39:55;40:535;,14400,34.2057417021133
1648329533,124.05209207556246,305.76898763263716,654,0,2,4,37,41:454;42:40;43:344;,14400,23.142476914916188
1648329565,0,326.5548075259254,948,0,0,9,60,42:714;43:478;44:36;,14400,16.09115439467132
1648329575,0,381.82915610690725,834,0,0,7,82,45:539;46:34;47:480;,14400,30.187800577376038
1648329575,0,381.82915610690725,834,0,0,7,82,45:539;46:34;47:480;,14400,31.194771968293935
1648329580,90.25019359965331,312.6083647459561,755,0,2,5,64,45:461;46:473;47:39;,14400,32.1899737729691
1648329627,51.622776601683796,359.09553566102454,761,0,1,6,43,39:456;40:522;41:16;,14400,16.099768894724548
1648329628,117.19199598333685,368.4091063571333,708,0,2,4,41,44:471;45:29;46:409;,14400,25.146246982272714
1648329629,45.0,326.0672944357302,796,0,1,5,39,47:557;48:15;49:455;,14400,29.181890943087637
1648329643,51.622776601683796,340.1283401972041,867,0,1,8,92,42:41;43:583;44:478;,14400,30.186059187166393
1648329673,38.62741699796952,307.01129462072106,741,0,1,8,56,37:528;38:35;39:392;,14400,21.121533107943833
1648329672,0,346.1208950362169,795,0,0,8,62,43:464;44:511;45:52;,14400,25.145744604989886
1648329681,51.622776601683796,338.98988636543135,667,0,1,5,50,40:392;41:20;42:428;,14400,21.10774501413107
1648329677,0,348.03044810079155,688,0,0,7,87,44:16;45:444;46:403;,14400,32.18358310405165
1648329696,38.62741699796952,347.39703586832707,693,0,1,7,85,39:351;40:31;41:524;,14400,33.196405498310924
1648329720,0,341.59504215462556,959,0,0,10,137,44:17;45:605;46:617;,14400,40.24382710410282
1648329771,0,397.1695331702847,762,0,0,5,39,43:432;44:40;45:491;,14400,16.091784255579114
1648329753,0,332.96307999816264,550,0,0,6,81,45:5;46:345;47:370;,14400,35.20669041527435
1648329789,51.622776601683796,358.6526845538713,600,0,1,4,84,40:417;41:19;42:331;,14400,20.115581463091075
1648329800,38.62741699796952,306.2118387397904,582,0,1,7,57,39:345;40:398;41:18;,14400,22.12569876620546
1648329814,0,392.49336369432524,741,0,0,5,84,37:422;38:457;39:30;,14400,23.13154067285359
1648329824,0,317.071394683412,653,0,0,6,149,41:398;42:414;43:6;,14400,28.172856682911515
1648329823,65.56921938165306,345.90429452458176,742,0,1,6,101,49:418;50:6;51:547;,14400,33.19180674292147
1648329835,0,347.6393770310075,697,0,0,6,113,43:420;44:441;45:7;,14400,29.166203788947314
1648329864,0,380.58224513091443,774,0,0,9,78,50:28;51:546;52:422;,14400,26.14802504843101
1648329886,0,359.3328551515663,813,0,0,7,110,42:564;43:448;44:23;,14400,26.150887178257108
1648329886,0,359.3328551515663,813,0,0,7,110,42:564;43:448;44:23;,14400,27.157873109914362
1648329891,0,354.0747829771734,660,0,0,8,106,47:429;48:397;49:28;,14400,34.200143659021705
1648329943,0,305.7482686537305,703,0,0,8,135,44:16;45:458;46:427;,14400,37.21665156260133
1648329905,0,290.84335598544163,556,0,0,11,131,44:5;45:244;46:492;,14400,79.46846948098391
1648329991,0,352.4545980982472,723,0,0,5,70,45:28;46:447;47:447;,14400,19.11205891519785
1648330004,58.4828726939094,317.78515836912516,634,0,1,7,90,29:7;30:480;31:356;,14400,32.19571085181087
1648330038,0,303.5885219895026,786,0,0,8,74,44:5;45:451;46:559;,14400,17.097890546079725
1648330070,0,360.0466188372795,579,0,0,5,25,39:291;40:419;41:13;,14400,11.061187383718789
1648330046,0,367.47874215978493,640,0,0,5,136,44:8;45:427;46:374;,14400,35.204583229031414
1648330080,119.0106204128047,297.2384384597606,714,0,2,5,62,47:392;48:17;49:504;,14400,18.1064047049731
1648330098,65.32435545466859,286.4627942179747,932,0,2,8,36,43:530;44:244;45:434;,14400,11.057525702752173
1648330081,0,380.5530152747971,545,0,0,6,120,47:256;48:413;49:32;,14400,42.24909583199769
1648330119,0,283.73306629356273,592,0,0,6,55,44:400;45:6;46:327;,14400,27.157718984875828
1648330144,51.622776601683796,332.1744522562476,704,0,1,5,78,37:424;38:351;39:132;,14400,25.148794814944267
1648330140,0,311.85542647424796,613,0,0,9,69,43:445;44:13;45:359;,14400,30.177015169989318
1648330133,0,318.01140896464324,666,0,0,6,87,40:416;41:433;42:6;,14400,45.271543114911765
1648330161,71.14767617542165,329.79547192977276,708,0,2,6,75,40:37;41:425;42:458;,14400,18.10590987186879
1648330182,0,363.81838456131067,686,0,0,7,94,43:412;44:450;45:28;,14400,24.14408960705623
1648330191,0,332.66196534644274,725,0,0,6,84,40:22;41:467;42:430;,14400,24.139856273308396
1648330205,0,305.055223946924,573,0,0,8,103,44:258;45:474;46:6;,14400,31.182199123315513
1648330187,0,330.01984275645356,592,0,0,7,149,40:464;41:25;42:271;,14400,55.32731132628396
1648330229,0,388.06405210860044,677,0,0,7,61,44:493;45:367;46:17;,14400,19.11543273087591
1648330251,0,339.0345483484732,770,0,0,6,51,41:510;42:448;43:29;,14400,13.073109237942845
1648330253,0,394.0747679087067,476,0,0,5,87,47:13;48:311;49:286;,14400,27.158302451018244
1648330256,38.62741699796952,353.1683617839604,758,0,1,6,99,43:524;44:422;45:6;,14400,33.19158090092242
1648330286,0,419.4459159032023,656,0,0,5,45,37:352;38:481;39:5;,14400,16.092893410939723
1648330291,0,359.5591057470844,693,0,0,8,106,41:463;42:426;43:6;,14400,40.236100155860186
1648330324,45.0,347.2439167410651,677,0,1,8,56,42:9;43:419;44:452;,14400,16.092066564131528
1648330352,38.62741699796952,286.78107318991016,722,0,1,6,52,41:541;42:27;43:360;,14400,16.093502642121166
1648330352,38.62741699796952,286.78107318991016,722,0,1,6,52,41:541;42:27;43:360;,14400,16.09098842786625
1648330395,26.69693845669907,335.5454708383544,637,0,1,5,99,44:424;45:29;46:363;,14400,23.140706303995103
1648330396,0,360.934879069399,677,0,0,6,79,41:367;42:434;43:71;,14400,24.155686369165778
1648330428,72.87216658103186,390.65377577086997,676,0,1,5,77,45:348;46:45;47:466;,14400,21.12049420690164
1648330435,0,375.6005924783089,641,0,0,6,103,42:528;43:16;44:281;,14400,20.116567184217274
1648330473,0,359.1162546399312,684,0,0,5,116,43:395;44:39;45:425;,14400,30.176155369728804
1648330511,0,339.2607989439913,681,0,0,5,61,42:505;43:346;44:18;,14400,15.087176376022398
1648330518,0,361.3595692154587,746,0,0,6,129,42:7;43:455;44:462;,14400,37.23334432672709
1648330552,0,402.01049488856967,652,0,0,4,38,47:25;48:358;49:438;,14400,17.09924432216212
1648330572,45.0,312.12085165576104,1053,0,1,12,91,43:690;44:28;45:669;,14400,24.164212465286255
1648330585,0,408.2378112003111,756,0,0,7,57,45:454;46:30;47:481;,14400,15.099307341035455
1648330616,0,291.1087811669547,674,0,0,7,66,42:19;43:445;44:415;,14400,11.063078809995204
1648330610,0,344.9324923694201,552,0,0,7,92,40:411;41:268;42:38;,14400,31.185140829999
1648330638,123.52339104881366,292.57548312437615,645,0,3,6,55,42:427;43:25;44:410;,14400,12.0679275020957
1648330653,51.622776601683796,389.54703525827813,801,0,1,5,47,47:49;48:487;49:485;,14400,11.065581331960857
1648330662,0,367.0701425808877,774,0,0,8,118,45:393;46:564;47:19;,14400,22.1343462029472
1648330679,0,332.6380223423075,734,0,0,6,88,43:443;44:37;45:444;,14400,19.118281790986657
1648330715,0,368.0212257571427,807,0,0,8,75,45:24;46:486;47:527;,14400,19.11578541295603
1648330758,0,293.4038497915939,593,0,0,10,113,45:508;46:273;47:5;,14400,35.20878506684676
1648332057,0,331.73160114909444,636,0,0,6,75,77:350;78:13;79:434;,14400,65.386504474096
1648332057,0,292.7529090500162,608,0,0,10,138,43:438;44:370;45:5;,14400,74.44888373278081
1648332057,0,292.7529090500162,608,0,0,10,138,43:438;44:370;45:5;,14400,78.45866520842537
1648332057,0,292.7529090500162,608,0,0,10,138,43:438;44:370;45:5;,14400,79.48905079159886
1648332057,0,292.7529090500162,608,0,0,10,138,43:438;44:370;45:5;,14400,80.4901252980344
1648332057,0,292.7529090500162,608,0,0,10,138,43:438;44:370;45:5;,14400,81.5078660659492
1648332057,0,292.7529090500162,608,0,0,10,138,43:438;44:370;45:5;,14400,82.50757791474462
1648332057,0,292.7529090500162,608,0,0,10,138,43:438;44:370;45:5;,14400,82.52109698113054
1648332172,105.392425758484,343.6141765285662,607,0,2,3,55,42:351;43:372;44:45;,14400,26.14988002181053
1648332169,104.19663637962257,332.17445225624766,678,0,2,5,53,43:6;44:423;45:461;,14400,37.23786697210744
1648332170,90.25019359965331,375.06869250488614,710,0,2,3,62,45:424;46:461;47:29;,14400,38.239771869033575
1648332166,0,324.87150505686884,696,0,0,8,99,49:22;50:443;51:448;,14400,54.33400112437084
1648332174,0,285.77297353639676,565,0,0,8,108,45:19;46:403;47:336;,14400,53.32378265494481
1648332174,0,285.77297353639676,565,0,0,8,108,45:19;46:403;47:336;,14400,54.32708702981472
1648332167,0,323.11772482092636,579,0,0,7,127,39:464;40:19;41:268;,14400,65.41182490624487
1648332148,45.0,381.696755958552,786,0,1,7,126,37:468;38:24;39:509;,14400,88.53650769870728
1648332229,0,361.53613615579616,768,0,0,6,44,46:393;47:469;48:117;,14400,31.1978713972494
1648332244,58.4828726939094,360.934879069399,648,0,1,5,49,45:436;46:7;47:392;,14400,37.23010237514973
1648332219,38.62741699796952,306.69935182998546,684,0,1,8,91,43:451;44:409;45:43;,14400,63.389792806934565
1648332243,32.52025917745213,328.40153764636455,662,0,1,6,100,41:319;42:502;43:30;,14400,44.28483129106462
1648332266,0,358.65268455387127,784,0,0,7,102,48:476;49:29;50:501;,14400,41.24988512182608
1648332287,103.4828726939094,286.67939472960984,742,0,2,5,52,37:467;38:438;39:54;,14400,22.135846476070583
1648332246,0,359.07737469993094,604,0,0,7,84,39:360;40:39;41:369;,14400,66.42382265534252
1648332254,45.0,354.2331889564174,591,0,1,6,96,39:322;40:27;41:427;,14400,61.364870958961546
1648332295,58.4828726939094,374.5554387636456,647,0,1,3,44,34:436;35:27;36:352;,14400,20.110970705281943
1648332308,45.0,334.04190135559344,692,0,1,6,55,39:389;40:452;41:50;,14400,35.208993282169104
1648332325,65.04051835490426,281.0021634950413,662,0,2,8,50,43:455;44:392;45:34;,14400,32.19811971578747
1648332339,0,320.2439737149772,897,0,0,12,82,42:23;43:639;44:521;,14400,30.19253678340465
1648332336,0,374.1015187614687,582,0,0,6,76,44:333;45:32;46:373;,14400,36.21668589580804
1648332345,0,246.57768092568344,659,0,0,8,64,43:437;44:435;45:17;,14400,28.167310741730034
1648332316,65.56921938165306,319.69471143369975,716,0,1,7,96,46:469;47:437;48:6;,14400,89.539786726702
1648332355,0,293.01833423152937,555,0,0,7,76,46:16;47:296;48:405;,14400,51.32088922616094
1648332382,0,305.3054175465773,592,0,0,8,56,41:388;42:369;43:19;,14400,33.20588179770857
1648332365,26.69693845669907,312.92030753669167,739,0,1,6,99,37:417;38:490;39:35;,14400,56.36403425922617
1648332396,65.56921938165306,287.1820889895719,756,0,1,7,52,46:521;47:454;48:6;,14400,33.19828074704856
1648332373,58.4828726939094,334.2585018672286,627,0,1,5,90,46:343;47:461;48:17;,14400,59.35384786594659
1648332412,103.24555320336759,310.2112985911864,728,0,2,4,61,37:482;38:394;39:65;,14400,26.15579578373581
1648332423,0,258.773584648467,526,0,0,9,89,41:429;42:274;43:17;,14400,36.212493560276926
1648332434,0,402.67457491910227,668,0,0,5,64,46:31;47:383;48:437;,14400,45.274315727408975
1648332399,0,360.934879069399,601,0,0,8,97,47:29;48:331;49:424;,14400,87.5277544921264
1648332448,0,324.60059247830884,728,0,0,10,76,43:370;44:606;45:9;,14400,41.25332605326548
1648332452,0,313.071934832016,817,0,0,8,58,45:527;46:42;47:504;,14400,41.25388639885932
1648332452,0,313.071934832016,817,0,0,8,58,45:527;46:42;47:504;,14400,44.26781637175009
1648332469,0,324.87150505686884,627,0,0,7,91,45:464;46:341;47:17;,14400,47.28187666321173
1648332514,38.62741699796952,238.91812895252713,707,0,1,7,84,47:34;48:418;49:490;,14400,39.22938350401819
1648332514,38.62741699796952,238.91812895252713,707,0,1,7,84,47:34;48:418;49:490;,14400,41.24948925618082
1648332515,0,388.31953256023576,835,0,0,9,68,44:462;45:39;46:586;,14400,44.25451558176428
1648332514,38.62741699796952,238.91812895252713,707,0,1,7,84,47:34;48:418;49:490;,14400,45.27856052434072
1648332544,51.622776601683796,285.04814095565985,625,0,1,4,38,38:412;39:39;40:340;,14400,19.107760556973517
1648332536,0,303.83871558915587,899,0,0,10,65,40:544;41:615;42:26;,14400,35.216476797126234
1648332510,0,264.94249166006665,455,0,0,8,121,39:340;40:18;41:252;,14400,66.39044518722221
1648332549,0,284.2486850747291,796,0,0,8,66,41:598;42:391;43:39;,14400,31.18780456390232
1648332593,90.25019359965331,317.32158828306535,785,0,2,6,36,41:21;42:559;43:433;,14400,19.116644207388163
1648332580,0,306.1209101046836,607,0,0,6,80,41:391;42:393;43:7;,14400,33.208860964048654
1648332581,129.94249166006665,327.5176910582387,746,0,3,3,51,40:426;41:476;42:55;,14400,37.22674653911963
1648332584,0,332.690071037414,647,0,0,6,42,46:437;47:401;48:20;,14400,36.21673424402252
1648332599,0,394.0747679087067,699,0,0,6,52,49:383;50:481;51:31;,14400,46.27624994004145
1648332591,0,347.89953978437387,672,0,0,8,126,46:364;47:19;48:477;,14400,59.35000954288989
1648332646,0,304.9953303820223,719,0,0,7,80,42:397;43:85;44:442;,14400,42.24994844570756
1648332634,0,352.4727590593407,771,0,0,11,82,44:349;45:542;46:124;,14400,57.34675115067512
1648332675,90.0,374.18571912474863,840,0,2,6,40,40:475;41:135;42:491;,14400,22.143737502396107
1648332683,0,352.68084869376526,676,0,0,6,87,41:46;42:384;43:413;,14400,35.205598602071404
1648332700,0,369.08927695482834,610,0,0,6,57,41:16;42:378;43:408;,14400,42.25974741578102
1648332716,0,375.26920244935894,576,0,0,5,79,42:389;43:323;44:8;,14400,39.2293312177062
1648332722,38.62741699796952,311.60523287459455,713,0,1,4,73,41:8;42:389;43:482;,14400,34.199771868065
1648332751,0,339.8781465975509,687,0,0,5,34,40:367;41:467;42:34;,14400,21.131776159163564
1648332755,125.38320341483518,381.016585360857,840,0,2,5,45,44:591;45:31;46:455;,14400,30.17370597878471
1648332762,110.56921938165306,304.06496618467395,778,0,2,7,51,45:344;46:533;47:145;,14400,26.157705578953028
1648332783,51.622776601683796,260.8360664963883,741,0,1,11,48,38:474;39:516;40:29;,14400,22.125024338252842
1648332784,88.09475019311125,367.74000465446204,734,0,1,6,81,40:431;41:502;42:16;,14400,27.157752557191998
1648332748,0,380.12832512873746,708,0,0,9,99,33:30;34:548;35:333;,14400,67.40774921933189
1648332800,0,360.51018892333934,615,0,0,5,69,40:35;41:407;42:345;,14400,34.201624932233244
1648332814,0,380.34492564037265,734,0,0,6,79,39:574;40:16;41:353;,14400,27.163757799193263
1648332808,45.0,354.6111207372465,676,0,1,7,73,48:518;49:17;50:359;,14400,41.24901405768469
1648332824,0,280.8224305087458,891,0,0,13,68,44:653;45:150;46:392;,14400,34.20268753124401
1648332818,124.49494318271566,353.1865227450539,666,0,2,3,45,38:54;39:402;40:388;,14400,40.231794455088675
1648332833,45.0,367.30746207142954,851,0,1,5,50,43:580;44:58;45:456;,14400,34.19574692891911
1648332866,0,403.1153556323243,712,0,0,5,45,41:34;42:346;43:515;,14400,19.109690891113132
1648332810,0,342.7497771786547,702,0,0,8,108,41:29;42:367;43:519;,14400,75.45062869368121
1648332842,0,332.71079001632074,636,0,0,8,100,43:405;44:15;45:444;,14400,53.32381429616362
1648332887,0,324.6213114572155,632,0,0,3,39,38:389;39:333;40:56;,14400,21.12781025003642
1648332883,117.19199598333685,344.4896412622669,711,0,2,5,62,44:27;45:440;46:439;,14400,43.26545639289543
1648332899,0,317.9778158766251,605,0,0,5,40,42:376;43:358;44:30;,14400,29.168357755988836
1648332867,0,375.3241729565215,554,0,0,7,89,40:360;41:44;42:317;,14400,76.46819292195141
1648332923,45.0,310.2112985911864,700,0,1,7,99,42:494;43:383;44:38;,14400,33.20587978186086
1648332926,0,258.02064637675875,769,0,0,12,78,41:436;42:578;43:18;,14400,40.24168862402439
1648332945,45.0,381.696755958552,677,0,1,4,55,44:384;45:452;46:18;,14400,27.147721910849214
1648332898,0,297.46613258712546,673,0,0,6,119,37:436;38:6;39:385;,14400,75.45791052514687
1648332968,0,349.21566029779484,835,0,0,9,67,50:482;51:601;52:7;,14400,28.16378773096949
1648332993,119.0106204128047,383.5991424023073,797,0,2,5,41,43:449;44:29;45:553;,14400,20.111535051837564
1648333001,72.87216658103186,335.7717214338725,644,0,1,6,82,45:343;46:472;47:21;,14400,39.23202368291095
1648333011,58.4828726939094,326.22655940027676,717,0,1,6,100,51:474;52:442;53:16;,14400,37.217698791995645
1648333043,71.14767617542165,251.39786977507498,715,0,2,8,73,43:507;44:17;45:454;,14400,21.128390178084373
