Seed,Score,Potential_Score,Commands_Sent,Failures,Tasks_Completed,Remaining_Sites,Remaining_Resources,Actor_Idle_Time,Ticks,Time_to_Run
1648221312,283.4957468030209,283.4957468030209,576,0,6,0,7,43:510;44:929;45:1130;,7951,6.022393975872546
1648221312,283.4957468030209,283.4957468030209,576,0,6,0,7,43:510;44:929;45:1130;,7951,6.030998975969851
1648221312,283.4957468030209,283.4957468030209,576,0,6,0,7,43:510;44:929;45:1130;,7951,6.059135254938155
1648224808,300.01375228416623,300.01375228416623,655,0,6,0,0,36:3151;37:1970;38:2095;,11763,7.032511154189706
1648224808,300.01375228416623,300.01375228416623,655,0,6,0,0,36:3151;37:1970;38:2095;,11763,7.032651955727488
1648224808,300.01375228416623,300.01375228416623,655,0,6,0,0,36:3151;37:1970;38:2095;,11763,7.034826936200261
1648224808,300.01375228416623,300.01375228416623,655,0,6,0,0,36:3151;37:1970;38:2095;,11763,7.033570236992091
1648224808,300.01375228416623,300.01375228416623,655,0,6,0,0,36:3151;37:1970;38:2095;,11763,7.0313603221438825
1648224808,300.01375228416623,300.01375228416623,655,0,6,0,0,36:3151;37:1970;38:2095;,11763,7.031861016061157
1648224808,300.01375228416623,300.01375228416623,655,0,6,0,0,36:3151;37:1970;38:2095;,11763,8.037998777348548
1648224808,201.57235125301457,318.76434723635145,561,0,4,0,9,36:8416;37:703;38:2470;,14400,18.10281574074179
1648224815,314.7964252376262,373.27929793153555,793,0,5,1,6,46:4008;47:2336;48:2985;,14400,23.132267067674547
1648224815,314.7964252376262,373.27929793153555,793,0,5,1,6,46:4008;47:2336;48:2985;,14400,23.128955696243793
1648224815,314.7964252376262,373.27929793153555,793,0,5,1,6,46:4008;47:2336;48:2985;,14400,23.129020323045552
1648224815,314.7964252376262,373.27929793153555,793,0,5,1,6,46:4008;47:2336;48:2985;,14400,23.134611513931304
1648224815,314.7964252376262,373.27929793153555,793,0,5,1,6,46:4008;47:2336;48:2985;,14400,23.12765384791419
1648224815,314.7964252376262,373.27929793153555,793,0,5,1,6,46:4008;47:2336;48:2985;,14400,23.1344722090289
1648224826,208.12236018068518,318.2280094762783,644,0,4,1,8,39:4085;40:2283;41:3016;,14400,17.089569016825408
1648224838,331.95785174461247,331.95785174461247,712,0,6,0,3,45:2252;46:1359;47:1357;,11812,7.0352850230410695
1648224838,331.95785174461247,331.95785174461247,712,0,6,0,3,45:2252;46:1359;47:1357;,11812,7.035189055837691
1648224838,331.95785174461247,331.95785174461247,712,0,6,0,3,45:2252;46:1359;47:1357;,11812,7.0380106517113745
