Seed,Score,Potential_Score,Commands_Sent,Failures,Tasks_Completed,Remaining_Sites,Remaining_Resources,Actor_Idle_Time,Ticks,Time_to_Run
1648221264,0,868.2784306562841,1657,0,0,9,178,80:713;81:715;82:639;,18000,24.14867308596149
1648221264,0,885.8790308740392,1778,0,0,9,201,69:780;70:734;71:697;,18000,27.164526087697595
1648221264,0,885.8790308740392,1778,0,0,9,201,69:780;70:734;71:697;,18000,28.173252461943775
1648221264,0,885.8790308740392,1778,0,0,9,201,69:780;70:734;71:697;,18000,29.189511286094785
1648221363,0,994.6882296372702,1499,0,0,7,205,62:761;63:460;64:570;,18000,23.13616222096607
1648221363,0,994.6882296372702,1499,0,0,7,205,62:761;63:460;64:570;,18000,23.137695049867034
1648221363,0,994.6882296372702,1499,0,0,7,205,62:761;63:460;64:570;,18000,24.14564871462062
1648221363,0,994.6882296372702,1499,0,0,7,205,62:761;63:460;64:570;,18000,24.145570682827383
1648221504,0,1111.0779540656677,1517,0,0,8,183,62:712;63:723;64:464;,18000,21.123728348873556
1648221505,0,913.0264533969723,1626,0,0,9,137,72:845;73:619;74:553;,18000,21.127611454110593
1648221502,0,912.6745523576647,1542,0,0,8,181,73:709;74:546;75:666;,18000,24.145142073743045
1648221502,0,912.6745523576647,1542,0,0,8,181,73:709;74:546;75:666;,18000,25.14802050497383
1648221584,0,848.6096109051948,1429,0,0,6,136,74:594;75:623;76:539;,18000,19.111600074917078
1648221582,0,951.5142907385723,1475,0,0,8,171,66:607;67:718;68:521;,18000,25.14914653589949
1648221582,0,951.5142907385723,1475,0,0,8,171,66:607;67:718;68:521;,18000,25.15475693391636
1648221583,0,931.0609132951419,1388,0,0,7,167,70:552;71:610;72:561;,18000,24.14715996105224
1648221624,120.8190799272728,923.6989296373326,1279,0,1,4,55,55:505;56:505;57:547;,18000,11.061969735193998
1648221624,120.8190799272728,923.6989296373326,1279,0,1,4,55,55:505;56:505;57:547;,18000,11.06171145522967
1648221624,120.8190799272728,923.6989296373326,1279,0,1,4,55,55:505;56:505;57:547;,18000,12.071195790078491
1648221620,112.36753236814714,897.5244519016813,1554,0,1,6,211,69:697;70:554;71:621;,18000,33.19720981922001
1648221662,0,897.5481529991528,1242,0,0,5,109,65:470;66:465;67:552;,18000,16.09651751536876
1648221661,0,997.330568319887,1537,0,0,9,165,59:717;60:500;61:676;,18000,19.112196626141667
1648221661,0,997.330568319887,1537,0,0,9,165,59:717;60:500;61:676;,18000,19.112453975249082
1648221678,0,878.0956332887506,1339,0,0,6,134,69:543;70:549;71:547;,18000,19.11801639990881
1648221708,0,987.9706871181694,1418,0,0,7,167,72:450;73:469;74:809;,18000,23.135776444803923
1648221732,0,831.5344241733504,1241,0,0,5,155,58:429;59:552;60:537;,18000,17.101170054171234
1648221734,0,979.2999252176058,1335,0,0,6,124,67:638;68:552;69:434;,18000,19.10966755170375
1648221750,0,941.3139438634723,1304,0,0,6,135,57:527;58:565;59:504;,18000,13.075463321059942
1648221771,0,830.7032620910367,1493,0,0,10,206,73:738;74:599;75:535;,18000,27.159288004040718
1648221789,0,981.1946195955284,1717,0,0,9,137,73:553;74:839;75:719;,18000,17.100166671909392
1648221798,0,952.2324693943665,1233,0,0,5,125,61:572;62:475;63:437;,18000,16.09289825288579
1648221806,0,935.5356959703448,1573,0,0,9,138,69:503;70:835;71:593;,18000,22.131232246756554
1648221828,0,907.0150114293134,1279,0,0,5,160,67:517;68:466;69:541;,18000,23.14903354085982
1648221848,0,895.4477571022107,1467,0,0,7,131,74:667;75:617;76:527;,18000,21.125868959352374
1648221837,0,886.6359035181462,1862,0,0,14,231,75:752;76:761;77:805;,18000,36.217190891038626
1648221863,0,1051.6600099318784,1452,0,0,6,165,69:567;70:606;71:603;,18000,22.131307230796665
1648221914,0,886.4681721967838,1374,0,0,6,93,61:584;62:567;63:545;,18000,12.067937690299004
1648221919,0,1035.8257212008434,1443,0,0,6,145,63:577;64:551;65:633;,18000,20.117777795996517
1648221930,0,976.1295491886876,1450,0,0,7,161,66:569;67:579;68:670;,18000,18.11532025085762
1648221921,0,809.4671924846733,1491,0,0,11,325,55:640;56:571;57:641;,18000,37.23896120581776
1648221943,250.26179902726437,795.8816477430684,1600,0,2,8,151,63:626;64:770;65:597;,18000,20.11925352504477
1648221983,0,824.2624325675994,1669,0,0,10,154,75:633;76:848;77:606;,18000,23.13880968466401
1648221992,138.23408959407266,851.1400536127597,1425,0,1,6,163,68:618;69:562;70:559;,18000,23.140550134237856
1648221998,0,831.698110801312,1465,0,0,9,159,72:515;73:780;74:517;,18000,26.156073260121047
1648222133,0,759.5767675758742,1396,0,0,10,184,70:504;71:672;72:550;,18000,25.149049612227827
1648222143,0,885.8350503444575,1346,0,0,8,115,64:624;65:566;66:475;,18000,17.09920936776325
1648222154,0,959.3120858302638,1736,0,0,9,170,62:759;63:559;64:822;,18000,23.180544193834066
1648222197,0,911.7455880999648,1439,0,0,8,240,62:556;63:602;64:574;,18000,29.17889695102349
1648222197,0,911.7455880999648,1439,0,0,8,240,62:556;63:602;64:574;,18000,29.17409533308819
1648222214,112.36753236814714,851.8582696997597,1375,0,1,5,144,83:569;84:581;85:527;,18000,21.126094138715416
1648222274,0,923.1792972766627,1300,0,0,6,139,64:491;65:563;66:572;,18000,19.112792988307774
1648222274,0,923.1792972766627,1300,0,0,6,139,64:491;65:563;66:572;,18000,19.117304156068712
1648222284,112.36753236814714,836.2109646726921,1518,0,1,7,110,58:475;59:715;60:674;,18000,15.092150278855115
1648222324,0,963.2978286043805,1436,0,0,7,107,59:805;60:504;61:429;,18000,14.081749655772
1648222323,0,959.0149701170044,1664,0,0,9,235,66:588;67:882;68:565;,18000,29.205938290804625
1648222330,0,887.6293313954116,1673,0,0,10,146,67:712;68:520;69:794;,18000,23.139151625800878
1648222371,138.23408959407266,986.339802254817,1583,0,1,9,151,58:580;59:574;60:820;,18000,16.09896301990375
1648222386,258.8854381999832,850.4688127284803,1826,0,2,8,130,64:1035;65:672;66:527;,18000,20.11771635618061
1648222420,0,949.421252981494,1359,0,0,7,122,65:578;66:597;67:500;,18000,19.113350816071033
1648222385,0,921.8178238910535,1632,0,0,10,341,64:738;65:719;66:526;,18000,66.40537265595049
1648222439,0,975.5229194490981,1342,0,0,6,148,67:513;68:559;69:586;,18000,20.118715109769255
1648222464,0,1004.5722510170128,1546,0,0,6,163,72:584;73:658;74:659;,18000,21.13244555424899
1648222479,0,922.2503330189628,1231,0,0,4,94,67:434;68:477;69:572;,18000,17.101498212199658
1648222488,0,939.5359582938656,1344,0,0,6,124,61:449;62:558;63:634;,18000,16.095046604052186
1648222519,0,842.4118734303586,1376,0,0,7,93,65:567;66:602;67:518;,18000,15.095770366024226
1648222521,112.36753236814714,841.4389286430768,1643,0,1,8,189,65:720;66:653;67:663;,18000,23.136503751855344
1648222529,0,998.5083573499011,1433,0,0,8,230,68:610;69:643;70:500;,18000,28.16455395007506
1648222559,0,879.8577630877389,1526,0,0,6,104,81:576;82:771;83:509;,18000,18.10756603209302
1648222569,0,985.4168470198701,1584,0,0,7,194,76:594;77:757;78:579;,18000,25.16020401380956
1648222581,0,932.2136675081381,1520,0,0,9,168,58:652;59:676;60:550;,18000,19.11397968325764
1648222613,0,911.7455880999648,1760,0,0,10,174,57:833;58:576;59:762;,18000,18.106421244330704
1648222607,0,944.5403668518479,1664,0,0,8,188,80:734;81:551;82:767;,18000,26.146546427626163
1648222646,138.23408959407266,866.6796463473147,1783,0,1,9,175,77:612;78:657;79:934;,18000,22.156759694218636
1648222654,0,814.9246279724699,1557,0,0,8,144,64:717;65:525;66:677;,18000,17.107658884022385
1648222657,0,890.2279173240295,1365,0,0,7,181,59:534;60:633;61:496;,18000,22.131682140752673
1648222733,0,944.1811951563783,1674,0,0,7,143,62:641;63:626;64:776;,18000,18.106306799687445
1648222735,0,986.8066136187911,1443,0,0,8,144,66:530;67:566;68:671;,18000,19.115609805099666
1648222744,0,987.3939066772903,1519,0,0,7,165,74:550;75:759;76:537;,18000,23.145638056099415
1648222921,129.4427190999916,885.1873068997761,1502,0,1,7,193,63:522;64:624;65:704;,18000,20.120288476813585
1648222924,0,848.1333642118033,1458,0,0,10,166,70:633;71:721;72:444;,18000,20.131597543135285
1648222935,0,913.3646828153234,1319,0,0,7,214,67:588;68:536;69:484;,18000,26.157264171168208
1648222958,242.3268852295729,879.1527086304619,1593,0,2,6,187,64:604;65:605;66:742;,18000,21.123126238118857
1648222956,120.8190799272728,876.2400599010614,1547,0,1,7,177,59:540;60:734;61:633;,18000,24.138841279782355
1648222978,0,972.053380192289,1568,0,0,9,167,76:606;77:604;78:724;,18000,24.150338070932776
1648223087,0,866.5119150259524,1290,0,0,7,97,62:513;63:559;64:547;,18000,14.082581310067326
1648223087,0,866.5119150259524,1290,0,0,7,97,62:513;63:559;64:547;,18000,14.081495966296643
1648223110,112.36753236814714,787.6051138359438,1404,0,1,8,147,67:523;68:527;69:701;,18000,18.10700445389375
1648223141,0,906.1892047794918,1545,0,0,10,181,64:599;65:573;66:750;,18000,25.145444631110877
