Seed,Score,Potential_Score,Commands_Sent,Failures,Tasks_Completed,Remaining_Sites,Remaining_Resources,Actor_Idle_Time,Ticks,Time_to_Run
1648221363,138.23408959407266,994.6882296372702,736,0,1,1,22,62:242;63:10439;64:10225;,18000,114.68891463289037
1648221363,138.23408959407266,994.6882296372702,736,0,1,1,22,62:242;63:10439;64:10225;,18000,115.7023431067355
1648221363,138.23408959407266,994.6882296372702,736,0,1,1,22,62:242;63:10439;64:10225;,18000,117.7133818170987
1648221363,138.23408959407266,994.6882296372702,736,0,1,1,22,62:242;63:10439;64:10225;,18000,117.7000177889131
1648221505,497.18914671611543,913.0264533969723,1068,0,3,1,20,72:5554;73:7041;74:3669;,18000,56.341392611153424
1648221505,497.18914671611543,913.0264533969723,1068,0,3,1,20,72:5554;73:7041;74:3669;,18000,57.34738146420568
1648221505,497.18914671611543,913.0264533969723,1068,0,3,1,20,72:5554;73:7041;74:3669;,18000,57.34769272292033
1648221505,497.18914671611543,913.0264533969723,1068,0,3,1,20,72:5554;73:7041;74:3669;,18000,57.349802325014025
1648221584,544.8000136575296,848.6096109051948,1048,0,4,0,22,74:1601;75:692;76:6815;,18000,17.105369267053902
1648221584,544.8000136575296,848.6096109051948,1048,0,4,0,22,74:1601;75:692;76:6815;,18000,17.104976600967348
1648221584,544.8000136575296,848.6096109051948,1048,0,4,0,22,74:1601;75:692;76:6815;,18000,17.0990123138763
1648221584,544.8000136575296,848.6096109051948,1048,0,4,0,22,74:1601;75:692;76:6815;,18000,17.105549949221313
1648221624,340.5755076535926,923.6989296373326,2782,0,2,1,22,55:1512;56:6363;57:7291;,18000,25.16478073084727
1648221624,340.5755076535926,923.6989296373326,2782,0,2,1,22,55:1512;56:6363;57:7291;,18000,25.162495248951018
1648221624,340.5755076535926,923.6989296373326,2782,0,2,1,22,55:1512;56:6363;57:7291;,18000,25.161703769117594
1648221624,340.5755076535926,923.6989296373326,2782,0,2,1,22,55:1512;56:6363;57:7291;,18000,24.16315163532272
1648221662,331.1510153071851,897.5481529991528,918,0,2,1,15,65:1957;66:4745;67:8274;,18000,30.18161819409579
1648221678,390.4873832163656,878.0956332887506,934,0,3,1,9,69:5666;70:8104;71:3351;,18000,52.312817172147334
1648221678,390.4873832163656,878.0956332887506,934,0,3,1,9,69:5666;70:8104;71:3351;,18000,54.327678855042905
1648221678,390.4873832163656,878.0956332887506,934,0,3,1,9,69:5666;70:8104;71:3351;,18000,53.30361286690459
1648221734,507.0607697827871,979.2999252176058,1222,0,3,1,20,67:251;68:1769;69:6202;,18000,22.12885479722172
1648221750,268.67165740433967,941.3139438634723,850,0,2,1,17,57:10317;58:239;59:6430;,18000,36.22328477120027
1648221750,268.67165740433967,941.3139438634723,850,0,2,1,17,57:10317;58:239;59:6430;,18000,35.21370106982067
1648221708,481.5165470749719,987.9706871181694,1118,0,3,0,35,72:5423;73:795;74:5237;,18000,75.44863521400839
1648221798,295.8190799272728,952.2324693943665,834,0,2,0,28,61:3137;62:2230;63:3653;,18000,29.170461947098374
1648221798,295.8190799272728,952.2324693943665,834,0,2,0,28,61:3137;62:2230;63:3653;,18000,30.18191381683573
1648221806,464.77140136912044,935.5356959703448,1001,0,3,1,9,69:1448;70:5462;71:7484;,18000,33.20077091595158
1648221828,426.3847588215511,907.0150114293134,864,0,3,0,23,67:5602;68:1255;69:6935;,18000,34.20218792790547
1648221863,516.4852621291946,1051.6600099318784,1194,0,3,1,18,69:2369;70:4770;71:5843;,18000,45.27171439630911
1648221863,516.4852621291946,1051.6600099318784,1194,0,3,1,18,69:2369;70:4770;71:5843;,18000,46.27120010973886
1648221848,582.2136675081381,895.4477571022107,1129,0,4,0,29,74:3420;75:2280;76:6925;,18000,70.4312097793445
1648221863,516.4852621291946,1051.6600099318784,1194,0,3,1,18,69:2369;70:4770;71:5843;,18000,45.269040181767195
1648221921,471.8388821136813,809.4671924846733,1044,0,3,0,21,55:6016;56:6438;57:748;,18000,17.11098932195455
1648221930,516.1757481028642,976.1295491886876,1175,0,3,1,16,66:8032;67:4584;68:5262;,18000,29.170798386912793
1648221943,407.3857591217313,795.8816477430684,950,0,3,1,13,63:6268;64:3242;65:4581;,18000,34.20684350095689
1648221943,407.3857591217313,795.8816477430684,950,0,3,1,13,63:6268;64:3242;65:4581;,18000,33.19825050281361
1648221943,407.3857591217313,795.8816477430684,950,0,3,1,13,63:6268;64:3242;65:4581;,18000,34.20362852420658
1648221998,388.9993981842542,831.698110801312,797,0,3,0,23,72:2702;73:6231;74:8539;,18000,127.78707683319226
1648221998,388.9993981842542,831.698110801312,797,0,3,0,23,72:2702;73:6231;74:8539;,18000,127.77912057517096
1648221998,388.9993981842542,831.698110801312,797,0,3,0,23,72:2702;73:6231;74:8539;,18000,129.78830431215465
1648222154,414.8659554101797,959.3120858302638,3147,0,3,0,34,62:6106;63:1672;64:8156;,18000,37.22960088402033
1648222154,414.8659554101797,959.3120858302638,3147,0,3,0,34,62:6106;63:1672;64:8156;,18000,38.27001317916438
1648222154,414.8659554101797,959.3120858302638,3147,0,3,0,34,62:6106;63:1672;64:8156;,18000,37.256753575988114
1648222214,408.18661229541993,851.8582696997597,967,0,3,1,14,83:7420;84:1768;85:5554;,18000,48.29924499988556
1648222214,408.18661229541993,851.8582696997597,967,0,3,1,14,83:7420;84:1768;85:5554;,18000,48.30051725823432
1648222214,408.18661229541993,851.8582696997597,967,0,3,1,14,83:7420;84:1768;85:5554;,18000,49.30171211576089
1648222284,354.69441759772,836.2109646726921,971,0,3,1,19,58:4277;59:3741;60:5457;,18000,29.178927700966597
1648222284,354.69441759772,836.2109646726921,971,0,3,1,19,58:4277;59:3741;60:5457;,18000,30.17677962919697
1648222284,354.69441759772,836.2109646726921,971,0,3,1,19,58:4277;59:3741;60:5457;,18000,30.17768825078383
1648222330,241.81025146813874,887.6293313954116,705,0,2,0,28,67:234;68:2717;69:9618;,18000,33.20044560590759
1648222330,241.81025146813874,887.6293313954116,705,0,2,0,28,67:234;68:2717;69:9618;,18000,33.194592975545675
1648222330,241.81025146813874,887.6293313954116,705,0,2,0,28,67:234;68:2717;69:9618;,18000,33.198883562814444
1648222386,388.49588862133703,850.4688127284803,955,0,3,1,9,64:1872;65:6226;66:7368;,18000,33.203656387049705
1648222386,388.49588862133703,850.4688127284803,955,0,3,1,9,64:1872;65:6226;66:7368;,18000,33.1971324859187
1648222420,497.78938716538704,949.421252981494,947,0,3,0,23,65:7360;66:4246;67:3727;,18000,24.148306123912334
1648222439,497.1827574257975,975.5229194490981,961,0,3,0,17,67:255;68:4040;69:8647;,18000,27.160137634258717
1648222439,497.1827574257975,975.5229194490981,961,0,3,0,17,67:255;68:4040;69:8647;,18000,28.168525609653443
1648222479,424.4609458535757,922.2503330189628,1062,0,3,1,11,67:885;68:4304;69:4741;,18000,34.21346673415974
1648222488,432.77230422433786,939.5359582938656,1752,0,3,1,2,61:2865;62:3975;63:4524;,18000,25.161009211093187
1648222488,432.77230422433786,939.5359582938656,1752,0,3,1,2,61:2865;62:3975;63:4524;,18000,25.16102247638628
1648222529,470.3213514895965,998.5083573499011,3142,0,3,1,18,68:2236;69:4430;70:5816;,18000,25.18107403162867
1648222529,470.3213514895965,998.5083573499011,3142,0,3,1,18,68:2236;69:4430;70:5816;,18000,25.183334609959275
1648222529,470.3213514895965,998.5083573499011,3142,0,3,1,18,68:2236;69:4430;70:5816;,18000,24.154609204735607
1648222581,286.39458758086533,932.2136675081381,978,0,2,1,8,58:7863;59:243;60:6065;,18000,13.071140291169286
1648222581,286.39458758086533,932.2136675081381,978,0,2,1,8,58:7863;59:243;60:6065;,18000,13.07418546685949
1648222569,487.6082500723851,985.4168470198701,973,0,3,0,20,76:276;77:5724;78:8782;,18000,68.42126148426905
1648222613,580.4414630637723,911.7455880999648,1260,0,4,1,11,57:1730;58:3313;59:7619;,18000,22.134673404041678
1648222613,580.4414630637723,911.7455880999648,1260,0,4,1,11,57:1730;58:3313;59:7619;,18000,23.139642022084445
1648222657,418.80859694748506,890.2279173240295,871,0,3,0,21,59:7432;60:1961;61:6229;,18000,65.39756189193577
1648222657,418.80859694748506,890.2279173240295,871,0,3,0,21,59:7432;60:1961;61:6229;,18000,64.39042648719624
1648222657,418.80859694748506,890.2279173240295,871,0,3,0,21,59:7432;60:1961;61:6229;,18000,65.38723568990827
1648222744,204.1620734196171,987.3939066772903,7957,0,1,0,12,74:14356;75:11456;76:13682;,18000,169.16618056967854
1648222744,204.1620734196171,987.3939066772903,7957,0,1,0,12,74:14356;75:11456;76:13682;,18000,169.2128048609011
1648222744,204.1620734196171,987.3939066772903,7957,0,1,0,12,74:14356;75:11456;76:13682;,18000,167.19999697757885
1648222935,506.15101530718516,913.3646828153234,1006,0,3,0,13,67:4280;68:3423;69:7172;,18000,15.08861164143309
1648222935,506.15101530718516,913.3646828153234,1006,0,3,0,13,67:4280;68:3423;69:7172;,18000,14.082005245611072
1648222958,694.5782012770495,879.1527086304619,1857,0,5,0,32,64:4276;65:4686;66:3743;,18000,17.112888670060784
1648222978,378.87062276649146,972.053380192289,1047,0,2,1,17,76:269;77:5853;78:8619;,18000,107.65813179174438
1648222978,378.87062276649146,972.053380192289,1047,0,2,1,17,76:269;77:5853;78:8619;,18000,106.65173361124471
1648222978,378.87062276649146,972.053380192289,1047,0,2,1,17,76:269;77:5853;78:8619;,18000,107.6621065698564
1648223087,451.3223517897767,866.5119150259524,979,0,3,1,14,62:4067;63:5280;64:6582;,18000,40.24162432085723
1648223087,451.3223517897767,866.5119150259524,979,0,3,1,14,62:4067;63:5280;64:6582;,18000,40.24235251592472
1648223110,406.5659240634569,787.6051138359438,893,0,3,1,10,67:1079;68:4723;69:7847;,18000,55.3344496707432
1648223141,628.246164757752,906.1892047794918,1330,0,4,1,14,64:2668;65:3261;66:3587;,18000,24.149447691161186
1648223141,628.246164757752,906.1892047794918,1330,0,4,1,14,64:2668;65:3261;66:3587;,18000,24.155033085029572
