Seed,Score,Potential_Score,Commands_Sent,Failures,Tasks_Completed,Remaining_Sites,Remaining_Resources,Actor_Idle_Time,Ticks,Time_to_Run
1646747846,58.4828726939094,345.65732495015703,1306,0,1,12,230,45:513;46:552;47:602;,14400,68.28999487031251
1646747846,58.4828726939094,345.65732495015703,1306,0,1,12,230,45:513;46:552;47:602;,14400,68.62769561307505
1646747983,259.81790445638217,318.30077715029154,1044,0,5,2,39,43:402;44:464;45:466;,14400,21.366374308709055
1646747982,99.56910503773094,362.9301243291912,1307,0,2,14,192,43:536;44:555;45:635;,14400,50.39529921812937
1646748025,45.0,291.06960658095966,1253,0,1,13,155,44:575;45:555;46:505;,14400,33.75186459813267
1646748042,83.62741699796952,333.06271248836714,1333,0,2,11,84,43:543;44:480;45:705;,14400,23.703591455705464
1646748559,0,369.29736658925276,1456,0,0,21,128,67:514;68:872;69:588;,14400,47.824813020881265
1646748559,0,498.31703696312144,1269,0,0,9,193,42:608;43:540;44:442;,14400,68.39314561709762
1646748707,51.622776601683796,371.47496083242413,1432,0,1,10,84,45:750;46:526;47:544;,14400,28.525144338607788
1646748724,0,346.9884362894297,1626,0,0,23,163,43:673;44:627;45:869;,14400,47.02311705797911
1646748756,26.69693845669907,314.27213785487106,1234,0,1,13,117,43:533;44:667;45:418;,14400,31.487287926953286
1646748787,280.92884168287003,280.92884168287,1166,0,6,5,37,45:451;46:561;47:528;,13804,20.459913280792534
1646748805,0,352.51742104238264,1284,0,0,13,180,48:580;49:563;50:532;,14400,44.02033059624955
1646748846,103.4828726939094,290.59316238578833,1293,0,2,18,166,48:479;49:614;50:673;,14400,43.83806590316817
1646748862,122.25483399593904,298.6098732708803,1177,0,3,10,144,40:457;41:561;42:482;,14400,34.86178363999352
1646748913,190.95242279648824,410.18561175290563,1421,0,3,12,222,45:593;46:611;47:616;,14400,78.2663018591702
1646749018,91.00313187136153,435.8642888941431,1613,0,2,13,87,42:728;43:488;44:851;,14400,21.481127806007862
1646749114,88.09475019311125,355.95008451349213,1291,0,1,13,173,38:589;39:515;40:584;,14400,35.73912974400446
1646749169,0,370.44451783404645,1275,0,0,13,165,42:462;43:452;44:724;,14400,38.7588498708792
1646749231,0,369.86607610874455,1207,0,0,10,116,25:567;26:520;27:471;,14400,22.555337322875857
1646749314,32.52025917745213,291.8225448526679,1337,0,1,18,184,47:583;48:602;49:598;,14400,48.04001794336364
1646968433,92.26615783835213,285.99922413191484,1280,0,2,10,62,45:572;46:417;47:663;,14400,9.06282383389771
1646968433,92.26615783835213,285.99922413191484,1280,0,2,10,62,45:572;46:417;47:663;,14400,10.072438663803041
1646968518,0,368.4298253360399,1212,0,0,11,146,42:629;43:424;44:485;,14400,18.113755696918815
