Seed,Score,Potential_Score,Commands_Sent,Failures,Tasks_Completed,Remaining_Sites,Remaining_Resources,Actor_Idle_Time,Ticks,Time_to_Run
1646747846,207.21593898747213,345.65732495015703,541,0,4,1,9,45:7669;46:8581;47:7784;,14400,67.33775527495891
1646747846,207.21593898747213,345.65732495015703,541,0,4,1,9,45:7669;46:8581;47:7784;,14400,68.39171255007386
1646747983,318.30077715029154,318.30077715029154,623,0,6,0,3,43:2431;44:3968;45:4281;,11677,21.411433822941035
1646748025,291.06960658095966,291.06960658095966,549,0,6,0,1,44:2427;45:1867;46:3249;,8727,10.193894886877388
1646748042,333.06271248836714,333.06271248836714,698,0,6,0,3,43:1449;44:1859;45:4522;,11776,16.33980208588764
1646748042,333.06271248836714,333.06271248836714,698,0,6,0,3,43:1449;44:1859;45:4522;,11776,19.398907112888992
1646748559,88.09475019311125,498.31703696312144,329,0,1,1,10,42:10703;43:10775;44:10263;,14400,100.19292610185221
1646748559,88.09475019311125,498.31703696312144,329,0,1,1,10,42:10703;43:10775;44:10263;,14400,95.9332446209155
1646748724,38.62741699796952,346.9884362894297,305,0,1,1,7,43:10873;44:11175;45:8330;,14400,20.42722460720688
1646748756,314.27213785487106,314.27213785487106,598,0,6,0,6,43:3380;44:2891;45:1779;,10082,16.317939227912575
1646748787,280.92884168287,280.92884168287,532,0,6,0,3,45:2331;46:1766;47:3432;,8927,17.273273959290236
1646748805,214.07603507969773,352.51742104238264,649,0,4,1,15,48:7726;49:5199;50:6703;,14400,38.93943040026352
1646748846,290.59316238578833,290.59316238578833,509,0,6,0,0,48:1933;49:1542;50:2002;,6997,13.262166073080152
1646748862,298.6098732708803,298.6098732708803,617,0,6,0,7,40:4713;41:3117;42:3185;,11616,22.485044475179166
1646748862,298.6098732708803,298.6098732708803,617,0,6,0,7,40:4713;41:3117;42:3185;,11616,23.422810508403927
1646748921,356.1038620809918,356.1038620809918,675,0,6,0,9,41:3750;42:2175;43:3071;,11268,26.517038476187736
1646749018,96.0,435.8642888941431,377,0,1,1,9,42:10787;43:8066;44:8515;,14400,75.18381107598543
1646749114,0,355.95008451349213,217,0,0,1,15,38:10605;39:10617;40:11880;,14400,19.414088329300284
1646749169,370.44451783404645,370.44451783404645,750,0,6,0,7,42:5260;43:1279;44:3687;,12172,22.36873386707157
1646749231,170.38320341483518,369.86607610874455,501,0,3,0,27,25:7936;26:6854;27:9027;,14400,61.1509644491598
1646749314,83.62741699796952,291.8225448526679,328,0,2,1,10,47:9487;48:10465;49:11126;,14400,137.77674794895574
1646968433,135.2501935996533,285.99922413191484,432,0,3,1,25,45:8334;46:8382;47:10337;,14400,76.53159943083301
1646968433,135.2501935996533,285.99922413191484,432,0,3,1,25,45:8334;46:8382;47:10337;,14400,79.56287224916741
1646968522,345.63338194602176,345.63338194602176,693,0,6,0,0,43:4754;44:730;45:4008;,11568,16.145769628696144
1646968522,345.63338194602176,345.63338194602176,693,0,6,0,0,43:4754;44:730;45:4008;,11568,16.320703725796193
1646968555,312.00598001651895,312.00598001651895,614,0,6,0,0,43:2812;44:4266;45:1998;,9884,7.032556613907218
1646968555,312.00598001651895,312.00598001651895,614,0,6,0,0,43:2812;44:4266;45:1998;,9884,7.03336618700996
1646968577,234.15774137115565,366.1637213876746,629,0,4,1,9,49:8178;50:6355;51:8162;,14400,24.125149294734
1646968577,234.15774137115565,366.1637213876746,629,0,4,1,9,49:8178;50:6355;51:8162;,14400,25.134900154080242
1646968616,360.4473659792039,360.4473659792039,732,0,6,0,6,39:1634;40:3421;41:3621;,12081,14.084131960757077
1646968616,360.4473659792039,360.4473659792039,732,0,6,0,6,39:1634;40:3421;41:3621;,12081,14.080118842888623
1646968643,318.2280094762784,318.2280094762784,597,0,6,0,3,48:2087;49:1455;50:2425;,8031,7.049848661292344
1646968663,297.6923831826435,297.6923831826435,525,0,6,0,1,50:1137;51:1219;52:2370;,7223,10.103771538939327
1646968673,195.39242575848402,334.2585018672286,561,0,4,1,6,41:6778;42:6880;43:9647;,14400,9.054411218035966
1646968695,291.3069260715015,291.3069260715015,587,0,6,0,0,42:2981;43:2117;44:2089;,9603,11.057199376169592
1646968710,311.1623817674414,311.1623817674414,625,0,6,0,3,43:1399;44:5060;45:3618;,11288,15.115755742881447
1646968710,311.1623817674414,311.1623817674414,625,0,6,0,3,43:1399;44:5060;45:3618;,11288,16.16646650293842
1646968739,72.87216658103186,340.0137372156995,303,0,1,2,2,42:11129;43:9140;44:11505;,14400,14.081939313095063
1646968739,72.87216658103186,340.0137372156995,303,0,1,2,2,42:11129;43:9140;44:11505;,14400,15.087419209070504
1646968771,388.5069032157536,388.5069032157536,704,0,6,0,5,43:1471;44:3533;45:2690;,10037,9.039258237928152
1646968771,388.5069032157536,388.5069032157536,704,0,6,0,5,43:1471;44:3533;45:2690;,10037,9.045294521842152
1646968793,85.17981115060847,334.3777871504643,377,0,2,2,6,48:7809;49:10870;50:10630;,14400,14.080685451161116
1646968793,85.17981115060847,334.3777871504643,377,0,2,2,6,48:7809;49:10870;50:10630;,14400,13.083430205006152
1646968825,45.0,319.63188848956435,297,0,1,1,7,44:9917;45:11673;46:10503;,14400,8.042932714801282
1646968825,45.0,319.63188848956435,297,0,1,1,7,44:9917;45:11673;46:10503;,14400,8.046903872396797
1646968849,270.25019359965336,270.25019359965336,553,0,6,0,3,40:2418;41:1616;42:1123;,8471,6.0358235579915345
1646968858,325.9763658006235,325.9763658006235,661,0,6,0,4,41:3016;42:3303;43:2990;,11845,7.051412659697235
1646968858,325.9763658006235,325.9763658006235,661,0,6,0,4,41:3016;42:3303;43:2990;,11845,7.033183966763318
1646968881,292.26539595982115,292.26539595982115,681,0,6,0,3,40:3932;41:3100;42:616;,12143,15.082540654111654
1646968881,292.26539595982115,292.26539595982115,681,0,6,0,3,40:3932;41:3100;42:616;,12143,15.082595260348171
1646968905,0,258.2579658673006,200,0,0,1,11,42:11210;43:11193;44:11725;,14400,6.032026201020926
1646968919,271.8154618614038,271.8154618614038,553,0,6,0,0,45:3524;46:1758;47:1238;,9060,7.103767444845289
1646968928,51.622776601683796,337.64061406506505,321,0,1,1,6,47:9588;48:11564;49:9662;,14400,9.054225007072091
1646968940,382.29272619296705,382.29272619296705,754,0,6,0,2,44:4311;45:4998;46:3646;,13790,24.37040314031765
1646968940,382.29272619296705,382.29272619296705,754,0,6,0,2,44:4311;45:4998;46:3646;,13790,24.714902081061155
1646968981,283.9832598932161,283.9832598932161,571,0,6,0,0,44:2112;45:1571;46:1125;,8266,8.043805549386889
1646968999,245.5745490543219,245.5745490543219,472,0,6,0,0,45:931;46:1120;47:2044;,6933,4.010306602809578
1646969021,370.44451783404645,370.44451783404645,724,0,6,0,9,43:4045;44:1758;45:3595;,11337,22.129712097812444
1647004834,351.58705684503434,351.58705684503434,647,0,6,0,0,49:3807;50:1168;51:4011;,10144,43.45504870591685
1647004834,351.58705684503434,351.58705684503434,647,0,6,0,0,49:3807;50:1168;51:4011;,10144,43.51533562410623
1647004932,339.68548909005096,339.68548909005096,753,0,6,0,4,44:4796;45:3348;46:4185;,14168,53.59201597981155
1647004932,339.68548909005096,339.68548909005096,753,0,6,0,4,44:4796;45:3348;46:4185;,14168,53.603798122145236
1647005007,353.93946101676215,353.93946101676215,698,0,6,0,2,39:3570;40:3952;41:6659;,14393,40.54208648297936
1647005067,330.78051797283945,330.78051797283945,637,0,6,0,3,40:5322;41:4974;42:5335;,13229,33.34478685585782
1647005067,330.78051797283945,330.78051797283945,637,0,6,0,3,40:5322;41:4974;42:5335;,13229,32.276115976739675
1647005135,387.63936196254076,387.63936196254076,725,0,6,0,4,39:4117;40:2772;41:4882;,12432,38.46973556885496
1647005135,387.63936196254076,387.63936196254076,725,0,6,0,4,39:4117;40:2772;41:4882;,12432,39.41586442478001
1647005219,45.0,337.64061406506505,299,0,1,1,12,48:9921;49:10243;50:11378;,14400,74.78215795895085
